Sector,Sector Code,Cell,Cell Code,Village,Village Code,Residential,Commercial,Agricultural
GIKONDO,010303,KINUNGA,01030303,Kinunga,0103030304,30,80,4000
GIKONDO,010303,KINUNGA,01030303,Ruganwa I,0103030305,30,80,4000
GIKONDO,010303,KINUNGA,01030303,Ruganwa ya II,0103030306,30,80,4000
GIKONDO,010303,KINUNGA,01030303,Ruganwa ya III,0103030307,30,80,4000
GIKONDO,010303,KINUNGA,01030303,Kigugu I,0103030301,30,80,4000
GIKONDO,010303,KINUNGA,01030303,Kigugu ya II,0103030302,30,80,4000
GIKONDO,010303,KINUNGA,01030303,Kigugu ya III,0103030303,30,80,4000
GIKONDO,010303,KAGUNGA,01030301,Kagunga I,0103030104,70,80,4000
GIKONDO,010303,KAGUNGA,01030301,Kagunga II,0103030105,70,80,4000
GIKONDO,010303,KAGUNGA,01030301,Rebero,0103030106,70,80,4000
GIKONDO,010303,KAGUNGA,01030301,Kabuye I,0103030102,30,80,4000
GIKONDO,010303,KAGUNGA,01030301,Gatare,0103030101,30,80,4000
GIKONDO,010303,KAGUNGA,01030301,Kabuye ya II,0103030103,30,80,4000
GIKONDO,010303,KANSEREGE,01030302,Kanserege I,0103030201,70,80,4000
GIKONDO,010303,KANSEREGE,01030302,Kanserege ya II,0103030202,70,80,4000
GIKONDO,010303,KANSEREGE,01030302,Kanserege ya III,0103030203,70,80,4000
GIKONDO,010303,KANSEREGE,01030302,Marembo I,0103030204,70,80,4000
GIKONDO,010303,KANSEREGE,01030302,Marembo II,0103030205,30,80,4000
GIKONDO,010303,KANSEREGE,01030302,Marembo III,0103030206,70,80,4000
KICUKIRO,010306,KICUKIRO,01030603,KICUKIRO,0103060304,70,80,4000
KICUKIRO,010306,KICUKIRO,01030603,Triangle,0103060305,70,80,4000
KICUKIRO,010306,KICUKIRO,01030603,Ubumwe,0103060306,70,80,4000
KICUKIRO,010306,KICUKIRO,01030603,Karisimbi,0103060303,70,80,4000
